geography,estimate,moe
County 0000,70000,1500
County 0001,70001,1501
County 0002,70002,1502
County 0003,70003,1503
County 0004,70004,1504
County 0005,70005,1505
County 0006,70006,1506
County 0007,70007,1507
County 0008,70008,1508
County 0009,70009,1509
County 0010,70010,1510
County 0011,70011,1511
County 0012,70012,1512
County 0013,70013,1513
County 0014,70014,1514
County 0015,70015,1515
County 0016,70016,1516
County 0017,70017,1517
County 0018,70018,1518
County 0019,70019,1519
County 0020,70020,1520
County 0021,70021,1521
County 0022,70022,1522
County 0023,70023,1523
County 0024,70024,1524
County 0025,70025,1525
County 0026,70026,1526
County 0027,70027,1527
County 0028,70028,1528
County 0029,70029,1529
County 0030,70030,1530
County 0031,70031,1531
County 0032,70032,1532
County 0033,70033,1533
County 0034,70034,1534
County 0035,70035,1535
County 0036,70036,1536
County 0037,70037,1537
County 0038,70038,1538
County 0039,70039,1539
County 0040,70040,1540
County 0041,70041,1541
County 0042,70042,1542
County 0043,70043,1543
County 0044,70044,1544
County 0045,70045,1545
County 0046,70046,1546
County 0047,70047,1547
County 0048,70048,1548
County 0049,70049,1549
County 0050,70050,1550
County 0051,70051,1551
County 0052,70052,1552
County 0053,70053,1553
County 0054,70054,1554
County 0055,70055,1555
County 0056,70056,1556
County 0057,70057,1557
County 0058,70058,1558
County 0059,70059,1559
County 0060,70060,1560
County 0061,70061,1561
County 0062,70062,1562
County 0063,70063,1563
County 0064,70064,1564
County 0065,70065,1565
County 0066,70066,1566
County 0067,70067,1567
County 0068,70068,1568
County 0069,70069,1569
County 0070,70070,1570
County 0071,70071,1571
County 0072,70072,1572
County 0073,70073,1573
County 0074,70074,1574
County 0075,70075,1575
County 0076,70076,1576
County 0077,70077,1577
County 0078,70078,1578
County 0079,70079,1579
County 0080,70080,1580
County 0081,70081,1581
County 0082,70082,1582
County 0083,70083,1583
County 0084,70084,1584
County 0085,70085,1585
County 0086,70086,1586
County 0087,70087,1587
County 0088,70088,1588
County 0089,70089,1589
County 0090,70090,1590
County 0091,70091,1591
County 0092,70092,1592
County 0093,70093,1593
County 0094,70094,1594
County 0095,70095,1595
