agency,declared,surface,url,A1,A2,A3,A6,A8,A9,B3,D1,D4,F4,finding_ids
BEA,True,scan-bea-flagship-1-interactive-data,https://www.bea.gov/itable,fail,fail,pass,fail,fail,fail,pass,fail,fail,fail,A1=fnd_d241f6e09011ad69d427875e A2=fnd_9f89a240f1e99447a7b9c51a A3=fnd_e8a4ea8d24f0e84e6c8808db A6=fnd_10ff1a438fa54d125748d7ae A8=fnd_ef1526e62e274d56e85604a8 A9=fnd_8ecb4c7fb57f3f7dab6207ab B3=fnd_ac19acf8a9090f12049132d6 D1=fnd_8bb382a8186e838adff17526 D4=fnd_5f303f5306a1ef6b558795e0 F4=fnd_74bbcb9daa154ff7f1d79732
BEA,True,scan-bea-flagship-2-news-releases,https://www.bea.gov/news/current-releases,fail,fail,pass,fail,fail,fail,pass,fail,fail,fail,A1=fnd_f6b1f4c5d522b7da7c16943f A2=fnd_6a4e92adc67e779abdf2c798 A3=fnd_53b66d543701d8b3f3a0e72a A6=fnd_00f5020d22aee9d796de839d A8=fnd_956da35768427db8c4eba49d A9=fnd_e9de913cc145217527d8eef5 B3=fnd_ffbeab986fb069656d770e8f D1=fnd_00f981c17e52244283f5a145 D4=fnd_91efdab728955f0bc6f3dff3 F4=fnd_380a4e8bc6c0fbf298cc8cff
BJS,True,scan-bjs-flagship-1-data-by-topic,https://bjs.ojp.gov/data/topic,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_c1327fe3f1747bcd97a859cc A2=fnd_4f5f643bde126d90e0ef7f2e A3=fnd_28d8872a186fcb2952003886 A6=fnd_4a5bb47ba3a1964ac725f161 A8=fnd_61b44cf262201d57b1caae02 A9=fnd_20f445fafa80ef9f7f6e1101 B3=fnd_e10f96fa8093a18addf471d4 D1=fnd_b77360b0e2db2a04407609a0 D4=fnd_623d883b849154e15bff941e F4=fnd_602f2cce3007ae545210b878
BJS,True,scan-bjs-flagship-2-death-in-custody-reporting-act,https://bjs.ojp.gov/programs/dicra,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_48b9c4303a2b3c4c3e1ad80c A2=fnd_ef7a0a033df36812c5342e85 A3=fnd_842efdccfb913b115282bf35 A6=fnd_ab23c470de1dd395be64a7c4 A8=fnd_174c7b0db2ea784df0010c64 A9=fnd_d7acd01f6e9c1ac581453a72 B3=fnd_febe8b3a9a1e48383d5ea7d5 D1=fnd_faca0314373bd03d2afbb57c D4=fnd_13eb4ca4338a3e43fc1ade62 F4=fnd_30bfe7858420d284c010ae32
BLS,True,flagship:www.bls.gov/cpi/,https://www.bls.gov/cpi/,error,error,error,error,error,error,error,error,error,error,A1=fnd_d08e2a937b7b539a46e67ab8 A2=fnd_c25cd799bcaa335fa93f0678 A3=fnd_1399fd09854d323964ef9105 A6=fnd_7156204dc262315c7a01137f A8=fnd_945fd3d01de8513f230f352a A9=fnd_434e2b15533a20181e371546 B3=fnd_d219688004598f3e176e2bb1 D1=fnd_f5422fe9925444e84ada9a32 D4=fnd_b4b8c7d9a132004034b832d9 F4=fnd_5c79624962acf2e568ab1f3e
BTS,True,flagship:www.bts.gov/topics/national-transportation-statistics,https://www.bts.gov/topics/national-transportation-statistics,error,error,error,error,error,error,error,error,error,error,A1=fnd_22186f4d4eb474880176ec63 A2=fnd_abbd1f6bc91f4eafa34c0ada A3=fnd_82a1d9ff4364a745f63d38f8 A6=fnd_cc5b68c8cc33b443399d2c4d A8=fnd_9be851d3a7612d9abd5edba7 A9=fnd_ce945d57f2104b5f6c32b021 B3=fnd_5b267f6e0417136831d47ecc D1=fnd_266f62f17cc7f59658922609 D4=fnd_533d3712d19f6fd78fb9a7d6 F4=fnd_734877f722dc8e6120d146c1
CENSUS,True,scan-census-flagship-1-surveys-programs,https://www.census.gov/programs-surveys.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_219c6485235794525280a9d4 A2=fnd_71a1bee3456b438db6fbecbb A3=fnd_09599bd0062ed57b9bda1958 A6=fnd_2fe933d95bd3ead33572ae4e A8=fnd_bc6fa5da1b6ba3d885ed4779 A9=fnd_a63e343e0a36b7dbfe8f4e06 B3=fnd_e3d3bf2d63548c2a3ceae4a5 D1=fnd_3f047081da1fd578b7d2bb58 D4=fnd_d754427af78185fcc3b16b6c F4=fnd_f9cbee0300cd629109269edd
CENSUS,True,scan-census-flagship-2-american-community-survey-acs,https://www.census.gov/programs-surveys/acs.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,A1=fnd_80c198804b6278f745137d78 A2=fnd_56b31e3366391d16d496b9e4 A3=fnd_e59cc66b0e6fabe3f4e0887b A6=fnd_67206bd1bd952f512d709019 A8=fnd_3756b4d33116bf3ddf7a74f8 A9=fnd_7f3e35e09b2159dd7f0813b9 B3=fnd_7620b82e5dfd31bc107971e8 D1=fnd_26cb88245ba3e56d259b0ff8 D4=fnd_7d27dc5f651938ea66616a5d F4=fnd_58e6f5d127d2838e9750eada
DRSMSU,True,flagship:www.federalreserve.gov/econres/scfindex.htm,https://www.federalreserve.gov/econres/scfindex.htm,fail,fail,fail,pass,pass,fail,fail,fail,pass,fail,A1=fnd_88d348416f9544a80308f3d7 A2=fnd_d1436347efb99be20a2f35bb A3=fnd_4b89882e31a2107caa19a38a A6=fnd_cda0ed4521605a44fb1052fd A8=fnd_3e9fd2a568d2421833cb3b8e A9=fnd_dee513dc81a6d18175f3812b B3=fnd_6923e086eb9ea510c1f876fd D1=fnd_e1706c71d6c44a9623b8957e D4=fnd_846dffdabc052b1483e482cc F4=fnd_cb171ad715e142a1879cd68e
EIA,True,scan-eia-flagship-1-open-data,https://www.eia.gov/beta/api/,error,fail,error,error,error,fail,error,fail,fail,fail,A1=fnd_3d507367e08937d288ccb955 A2=fnd_07f75de22921891ed37a7cbf A3=fnd_4625dc322dbcadc305ac3e30 A6=fnd_63b96136eed3dbbd099d2ee9 A8=fnd_4dbc6a6f1a2c9d998e685067 A9=fnd_62ee784a76bf4e390e2b5fe7 B3=fnd_8840e3e570c57ce90d0198d9 D1=fnd_48238b5396222ac8e05c3e65 D4=fnd_53977a5a221b6a6e4ac2b4b6 F4=fnd_e1b8b535a1bb3859ce3742e0
