agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,G1-D,refused_identified_client,probes_on_host_surface,finding_ids
BEA,A,home:www.bea.gov,https://www.bea.gov/,host:www.bea.gov,pass,fail,pass,pass,pass,fail,0,70,A4=fnd_140ccdfb85e3b607edc66601 A5=fnd_dcdda9f2bd409cec620fa6b4 A10=fnd_a873d32fdc286258cd593a1d A11-declared=fnd_aa34f7bfee371b7d7f21419a A12=fnd_d64e45973c526a8d0a493a9f G1-D=fnd_88cff9e9219c8e5be935a71d
BJS,A,home:bjs.ojp.gov,https://bjs.ojp.gov/,host:bjs.ojp.gov,pass,fail,pass,pass,pass,fail,0,59,A4=fnd_5565966136ecc00610fde832 A5=fnd_81b2e874f3d82ccc98b7788b A10=fnd_c691d96bfa17ce867aba6d8f A11-declared=fnd_e6e4c7c2f5bf8d7356ca2370 A12=fnd_e83481b0ed49c613709fef78 G1-D=fnd_76b89adb179d04a3e6c10cca
BLS,A,home:www.bls.gov,https://www.bls.gov/,host:www.bls.gov,error,error,error,error,fail,error,33,35,A4=fnd_e988344c9473eb7547337c66 A5=fnd_430322fd50ecbd5e4faac406 A10=fnd_be1294bfff0819954a97c7ac A11-declared=fnd_ddfb534e08d39c8dbc7bf7b5 A12=fnd_8011ceaabbcac53ecf8439e9 G1-D=fnd_552fcd068d6e46e904f3af8d
BTS,A,home:www.bts.gov,https://www.bts.gov/,host:www.bts.gov,error,error,error,error,fail,error,32,33,A4=fnd_0324746ae5069cbc5da76f85 A5=fnd_358ba1215b824cf636de1469 A10=fnd_d0d1d06c0138ae129eb0aab6 A11-declared=fnd_80d89d2f0459eda793b4029c A12=fnd_1e86c25aee4c807c2a4db152 G1-D=fnd_083bcd6d243537a6796da38c
CENSUS,A,home:www.census.gov,https://www.census.gov/,host:www.census.gov,pass,pass,pass,pass,pass,fail,4,60,A4=fnd_07f2618458a485ffa536e213 A5=fnd_150e61b7b5e4c920273bc3f3 A10=fnd_b4b5f2b00c6ca210bcd8bd96 A11-declared=fnd_92ecfa44deb5496bcdca4517 A12=fnd_271a50e541f273b628753b31 G1-D=fnd_567b2e5f9881177a9402523e
DRSMSU,A,home:www.federalreserve.gov,https://www.federalreserve.gov/econres/rsmecs-staff.htm,host:www.federalreserve.gov,fail,fail,pass,fail,fail,fail,0,67,A4=fnd_1e8b2b0a8f0f39e229bb6073 A5=fnd_c5ee8aa69bcbea0e163dbacd A10=fnd_9e7be46c37ca15232dea73d0 A11-declared=fnd_cc75dadf4ecc39da7bb5d12a A12=fnd_f47bb3ca2130af973e6c7ba0 G1-D=fnd_d4fa182aa1904dfc8b9ce080
EIA,A,home:www.eia.gov,https://www.eia.gov/,host:www.eia.gov,pass,pass,pass,pass,pass,fail,1,65,A4=fnd_2db540df24e438c81340e340 A5=fnd_a50a2f556e8ed4e116ddb28a A10=fnd_41e639b46ebe7acc70c021c4 A11-declared=fnd_9dc8ea993d20fb3edf98538f A12=fnd_6ff4c7e3bdda06da92cf2f1e G1-D=fnd_773670ca16c74d0adf5183f1
ERS,A,home:www.ers.usda.gov,https://www.ers.usda.gov/,host:www.ers.usda.gov,pass,fail,pass,pass,pass,fail,0,60,A4=fnd_59059fb5e920910d393f7052 A5=fnd_72601995cc3b4fb356671905 A10=fnd_a61236a5a6366757332e2ef5 A11-declared=fnd_b514f156e6932abe84d4d219 A12=fnd_38b80ea3f219d89d7d64ac29 G1-D=fnd_efa40d837568de35fff55474
NAHMSAPHIS,A,home:www.aphis.usda.gov,https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/monitoring-and-surveillance/nahms,host:www.aphis.usda.gov,pass,fail,pass,pass,pass,fail,0,58,A4=fnd_481117bf29bb9eeb751670c1 A5=fnd_2360063b15827e7c82040831 A10=fnd_3d4f5774d67a1c3011b0c7b8 A11-declared=fnd_50f5b87ba48ad0b4591d14c5 A12=fnd_7efb11d3d256a6a4237c1379 G1-D=fnd_0a92893717b40fb693b509b8
NASS,A,home:www.nass.usda.gov,https://www.nass.usda.gov/,host:www.nass.usda.gov,pass,fail,pass,pass,pass,fail,0,67,A4=fnd_9f0560def3dad6c7819c4d9b A5=fnd_55e0d7b441b7ebbf0b3c3fb9 A10=fnd_1ec0ba7222509b0c47ee94c3 A11-declared=fnd_40615247ef3fefeb14950c4b A12=fnd_65c129cbc151780cb450cde2 G1-D=fnd_e1f3dd86b31a9f00416de4c8
NCES,A,home:nces.ed.gov,https://nces.ed.gov/,host:nces.ed.gov,error,error,error,error,error,error,0,60,A4=fnd_39422a97636ffc94cdc44a8c A5=fnd_a37e34c227720c12b39f67af A10=fnd_b0a59b44c38a699d572b74c0 A11-declared=fnd_6720f67f59ac50ccdefd9cd5 A12=fnd_078d2ba03276db1dad818bac G1-D=fnd_120b714246136ce8dce74a13
NCHS,A,home:www.cdc.gov,https://www.cdc.gov/nchs/index.htm,host:www.cdc.gov,pass,fail,fail,fail,pass,fail,0,34,A4=fnd_f83e7b4b7e4ae97b747cb724 A5=fnd_5cd4703ede26cc5422d60287 A10=fnd_ff3895bf3e6cbe19ecac1fd7 A11-declared=fnd_4587181fcc8bdd813c465a1a A12=fnd_f7190a93447065049a2f8e68 G1-D=fnd_a8e27a45b21ad513ff306230
NCSES,A,home:ncses.nsf.gov,https://ncses.nsf.gov/,host:ncses.nsf.gov,pass,pass,pass,pass,pass,fail,0,65,A4=fnd_e6739e70f2e15343ac0edb01 A5=fnd_4579ca7be2f355a77a9e205b A10=fnd_7b884266bc4a94885152d069 A11-declared=fnd_5b6f64ce98837147f6345e92 A12=fnd_a624fccee9e24dc1a90c4137 G1-D=fnd_9b1f552a1ce6db2967599178
ORES,A,home:www.ssa.gov,https://www.ssa.gov,host:www.ssa.gov,error,error,error,error,fail,error,32,33,A4=fnd_57345e80345721f42f3259f1 A5=fnd_21183934220bb908849242a8 A10=fnd_aa280e3680217bfce077febe A11-declared=fnd_8ac339d0c1a0a3f1f4805f50 A12=fnd_193b4bcc397fef13ed32dc02 G1-D=fnd_88b2afff4b47ae9de02b1adf
SAMHSACBHS,A,home:www.samhsa.gov,https://www.samhsa.gov/about-us/who-we-are/offices-centers/cbhsq,host:www.samhsa.gov,pass,fail,pass,pass,pass,fail,0,62,A4=fnd_4708a44cb3811bac37ddbbcc A5=fnd_eaf56a0c956fc649771dd084 A10=fnd_9bc87336b7bd8073f2e92e88 A11-declared=fnd_734342d468f1642880a3a304 A12=fnd_29105eb44d5352607ea092a1 G1-D=fnd_f4b5c6cdd67be21b73c72716
SOI,A,home:www.irs.gov,https://www.irs.gov/statistics/soi-tax-stats-statistics-of-income,host:www.irs.gov,pass,fail,pass,pass,pass,fail,0,62,A4=fnd_36bf07b2462cddf6eabcb72f A5=fnd_af4bbbc59023c881a967cbd6 A10=fnd_94dcdaecd2dd4a9759b5f60e A11-declared=fnd_18a7c092258c65368ef4c67d A12=fnd_48b1ca1e3c0d443c76f211bb G1-D=fnd_76db2414b89b904d7692f95e
