agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,G1-D,refused_identified_client,probes_on_host_surface,finding_ids
BEA,A,home:www.bea.gov,https://www.bea.gov/,host:www.bea.gov,pass,fail,pass,pass,pass,fail,0,59,A4=fnd_63761fac055ff71cdaf868c5 A5=fnd_a7a53f83d0ecb8e2d34eccf2 A10=fnd_17a467d677aa179a76600fca A11-declared=fnd_50cf11d7aff6bdd8eaa37c9b A12=fnd_3133776acec64b3336c17a94 G1-D=fnd_4ac1d4cd2782b798f0f2b3f5
BJS,A,home:bjs.ojp.gov,https://bjs.ojp.gov/,host:bjs.ojp.gov,pass,fail,pass,pass,pass,fail,0,59,A4=fnd_ef76a1beab386bb5947bf4cb A5=fnd_b12949bfe6c6622322a35285 A10=fnd_99f1327c3b4b27ea1cfd3a4e A11-declared=fnd_8d1424a0988594d2e335f801 A12=fnd_330f41a6205ef65ff4bdec1a G1-D=fnd_ad8fec0de27ee8b5ebf1cde7
BLS,A,home:www.bls.gov,https://www.bls.gov/,host:www.bls.gov,error,error,error,error,fail,error,33,35,A4=fnd_5a341a94b472d6cce1537528 A5=fnd_595a677d7fa29ac1b74b60c5 A10=fnd_5cf827ec25d6f92801e46479 A11-declared=fnd_2bd5d972f44312bfb172a311 A12=fnd_62858e4e1ef92cf899ec8341 G1-D=fnd_07d3f0265752f6aea106eec7
BTS,A,home:www.bts.gov,https://www.bts.gov/,host:www.bts.gov,error,error,error,error,fail,error,32,33,A4=fnd_6cbbbccd3878b328fbf425ff A5=fnd_93700306bcc2321141ca2187 A10=fnd_49ff1b9dcff35e61ea0e6f34 A11-declared=fnd_6ede09ea886a2122a890a663 A12=fnd_ce84730f51b95e55f4e6a240 G1-D=fnd_c3d3fe6d551edc4df39738bc
CENSUS,A,home:www.census.gov,https://www.census.gov/,host:www.census.gov,pass,pass,pass,pass,pass,fail,4,59,A4=fnd_87a49af99d9624e0705ea45f A5=fnd_78b64d2e9cd19319969aedcd A10=fnd_1e41c89fb571b998d6d6c75c A11-declared=fnd_4189641f4f6b2c340cccd075 A12=fnd_5ff11845fee1bce99f1e5617 G1-D=fnd_fc039efe1739eacb25b48522
DRSMSU,A,home:www.federalreserve.gov,https://www.federalreserve.gov/econres/rsmecs-staff.htm,host:www.federalreserve.gov,fail,fail,pass,fail,fail,fail,0,67,A4=fnd_8f2c010ae6ce8c9c5d5bacde A5=fnd_1158f578d89f10621a51dee3 A10=fnd_88b0cc3ed1a145963da82254 A11-declared=fnd_38645d99531ca1916a216b37 A12=fnd_d421f37bb5613fa5ceb20a08 G1-D=fnd_018801218fa219b12b08afde
EIA,A,home:www.eia.gov,https://www.eia.gov/,host:www.eia.gov,pass,pass,pass,pass,pass,fail,1,64,A4=fnd_a4d7514b4a7f90d093bc5918 A5=fnd_b4b7bc396d2b40eb3622f8a3 A10=fnd_45cd22feeaf0d3a83d22a8f1 A11-declared=fnd_c877bd2759531d05d91aefcc A12=fnd_4682bed88da627241796815e G1-D=fnd_b37554a4fb2df0253aa76733
ERS,A,home:www.ers.usda.gov,https://www.ers.usda.gov/,host:www.ers.usda.gov,pass,fail,pass,pass,pass,fail,0,60,A4=fnd_c48959bbe63d8b8c7ec4559b A5=fnd_d95d3eadd90e99536f695eff A10=fnd_be5e905517586d43b91d0a55 A11-declared=fnd_acf8ff74f27b049443baa8fe A12=fnd_4557bea8efa20543f25ea66b G1-D=fnd_d648a2db72ae56c7c4edd129
NAHMSAPHIS,A,home:www.aphis.usda.gov,https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/monitoring-and-surveillance/nahms,host:www.aphis.usda.gov,pass,fail,pass,pass,pass,fail,0,58,A4=fnd_bf67ac873bad915da03faf59 A5=fnd_fcd7906c0bb16456048f0db0 A10=fnd_cc8c99ed11593b19f03716f4 A11-declared=fnd_95a474a5b734ab5c2c2532bc A12=fnd_ac7e9e334becdc2cf4d2efbb G1-D=fnd_4a543e475e2cd39a4ec2481c
NASS,A,home:www.nass.usda.gov,https://www.nass.usda.gov/,host:www.nass.usda.gov,pass,fail,pass,pass,pass,fail,0,66,A4=fnd_1c6b6fcafa1bac32db95884d A5=fnd_bac199c4653c08c68156f91a A10=fnd_448dcd4760326cc9641ca0ca A11-declared=fnd_91e0c0a04214e302840b76b5 A12=fnd_b1e7bd3c5a536a35dd579bb8 G1-D=fnd_85b44cf2f8ae4c94bb9e5341
NCES,A,home:nces.ed.gov,https://nces.ed.gov/,host:nces.ed.gov,pass,fail,pass,pass,pass,fail,0,63,A4=fnd_4daf4232770e443267b3a13d A5=fnd_2cdac657a6440b2984ba5be3 A10=fnd_c98f4a16952466cf8af6f0a5 A11-declared=fnd_df13ab54667f3db2487eff73 A12=fnd_0699662f33383799392dc7b1 G1-D=fnd_09bd2a926f3a13ae1cebeab4
