agency,tier,host_surface,host_url,candidate_surface,A4,A5,A10,A11-declared,A12,refused_identified_client,probes_on_host_surface,finding_ids
BEA,A,home:www.bea.gov,https://www.bea.gov/,host:www.bea.gov,pass,fail,pass,pass,pass,0,59,A4=fnd_db475d6ba01645bdd419dfe0 A5=fnd_42e42eb8d702f929046732fa A10=fnd_b476301bf36f83f5c03a0394 A11-declared=fnd_64a631e220df6c0b740efa9c A12=fnd_9b561d5f6a211643a5ba4dc3
BJS,A,home:bjs.ojp.gov,https://bjs.ojp.gov/,host:bjs.ojp.gov,pass,fail,pass,pass,pass,0,59,A4=fnd_b37a954b0e5788290d389790 A5=fnd_fdefa4d08db1b30bbef03036 A10=fnd_aa157245a4d149efa9ef3e7a A11-declared=fnd_ee100db73764a9fe2e17d7b0 A12=fnd_4bc6e4aa9a7e009441235421
BLS,A,home:www.bls.gov,https://www.bls.gov/,host:www.bls.gov,error,error,error,error,fail,33,35,A4=fnd_3b4e02825d5c7cddaa8e67f6 A5=fnd_6188c833b1d5edae40290940 A10=fnd_f6d0ac0031efad90bdce37b4 A11-declared=fnd_93293adcb14069c9656c879e A12=fnd_43cf49086ef11fa38f0e03d6
BTS,A,home:www.bts.gov,https://www.bts.gov/,host:www.bts.gov,error,error,error,error,fail,32,33,A4=fnd_2708c4b648297fc3ae5690f3 A5=fnd_0b800f7a5faf785bc258115b A10=fnd_110bc97230afb15a3ff9f3ed A11-declared=fnd_e1bd7311934dd1e43c8dff8c A12=fnd_bae314fe3394d34ecd9012b2
CENSUS,A,home:www.census.gov,https://www.census.gov/,host:www.census.gov,pass,pass,pass,pass,pass,4,59,A4=fnd_4672db7199c36549d1107ab1 A5=fnd_2eae4944cd2b4cda8a12b650 A10=fnd_2b6bb1732e02a90e488b9639 A11-declared=fnd_efd90b0d5697f3a5f9f3cf46 A12=fnd_83fd9f69d6c4973a339ed30c
DRSMSU,A,home:www.federalreserve.gov,https://www.federalreserve.gov/econres/rsmecs-staff.htm,host:www.federalreserve.gov,fail,fail,pass,fail,fail,0,67,A4=fnd_37fc77a357303ddc56362545 A5=fnd_07df4902976424117f742e3d A10=fnd_38aae4c928732060b929e4b0 A11-declared=fnd_92cebac50d7b94314f12c543 A12=fnd_b6c769d7ace6707d6455d81a
EIA,A,home:www.eia.gov,https://www.eia.gov/,host:www.eia.gov,pass,pass,pass,pass,pass,1,64,A4=fnd_309b07b64c5afefc7f4f0205 A5=fnd_1dbde9cd63176fe7b13b0827 A10=fnd_b4b98882e59f8a2156bc6cf0 A11-declared=fnd_413a51a3297f624162fc38a5 A12=fnd_efc1200865fcfe55e2d0826e
ERS,A,home:www.ers.usda.gov,https://www.ers.usda.gov/,host:www.ers.usda.gov,pass,fail,pass,pass,pass,0,60,A4=fnd_f00f5547db903c226716991c A5=fnd_9e78ec9b60957f70e673bc12 A10=fnd_222f198f2aabfb8b88cf97f4 A11-declared=fnd_cda76b4af52ca1326cffd659 A12=fnd_53f3b982b50a8e7d54875fa4
NAHMSAPHIS,A,home:www.aphis.usda.gov,https://www.aphis.usda.gov/aphis/ourfocus/animalhealth/monitoring-and-surveillance/nahms,host:www.aphis.usda.gov,pass,fail,pass,pass,pass,0,58,A4=fnd_f5dfda5d0c5db10b906dc69e A5=fnd_b42eed1d6ca41fe45452ae79 A10=fnd_f4aee007ac324c2c1fafa70f A11-declared=fnd_215352687d5a79a2866c8877 A12=fnd_9219e4ed13a9be73f67aa6e5
NASS,A,home:www.nass.usda.gov,https://www.nass.usda.gov/,host:www.nass.usda.gov,pass,fail,pass,pass,pass,0,66,A4=fnd_78e1bb2f5ecac2a4272bfe22 A5=fnd_440ce636e7fd2ce9242a4fdd A10=fnd_1fb18068f903eaa3cad77bc1 A11-declared=fnd_babe8e8ceb2d336ddd0a092d A12=fnd_5cc718c9f9231d0587a2cb11
