Industry	Title	Author/Organization	Year	Publication	Link/Location	Summary	Tags (comma separated)
Government	The Microstructure of AI Diffusion: Evidence from Firms, Business Functions, and Worker Tasks	Census Bureau (CES-WP-26-25)	2026		https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html		
	Data Readiness Checklist	Earth Science Information Partners (http://esipfed.org)	2023		https://github.com/ESIPFed/data-readiness		
Government	AI and Open Government Data Assets Request for Information (RFI)	Department of Commerce	2024		https://www.federalregister.gov/documents/2024/04/17/2024-08168/ai-and-open-government-data-assets-request-for-information	In April 2024, the U.S. Department of Commerce issued a Request for Information (RFI) seeking public input on how to develop AI‑ready open government data assets and associated data dissemination standards to better support data‑driven AI, including generative AI.  The RFI frames Commerce’s long‑term publishing mission and asks for ways to improve the creation, curation, and distribution of its data so that AI systems can reliably use it.  The notice explicitly links AI‑readiness to the OPEN Government Data Act definition of “machine‑readable” (44 U.S.C. § 3502(18)), underscoring the need for data that can be processed by computers without human intervention while preserving semantic meaning.  Overall, Commerce positions the RFI as a step toward making federal data both machine‑readable and machine‑understandable, with the goal of enabling trustworthy AI use across public datasets.	
Other	Comments on AI and Open Government Data Assets Request for Information 	Various	2024		https://www.regulations.gov/document/DOC-2024-0007-0001/comment		
Government	AI-Ready Federal Statistical Data: An Extension of Communicating Data Quality	FCSM	2025		https://statspolicy.gov/assets/fcsm/files/docs/FCSM.25.03_AI-Ready-Extension-Data-Quality.pdf	This paper outlines how the Federal statistical community can make public data machine‑understandable so generative AI systems and large language models (LLMs) return accurate, trustworthy answers grounded in official statistics. It recommends the extension of the FCSM Framework for Data Quality—across Utility, Objectivity, and Integrity—to AI contexts by enriching statistical APIs with comprehensive, variable‑level metadata and standard schemas (e.g., DCAT, SDMX). The authors emphasize moving beyond “machine‑readable” to “machine‑understandable” data, aligning with open‑data requirements and dissemination directives, so AI can both find and correctly use authoritative statistics. They propose a practical roadmap of structured experiments: (1) baseline assessments of current AI responses and their sources/accuracy, (2) targeted API and metadata enhancements (including AI‑optimized structures and Model Context Protocols), and (3) cross‑agency learning to produce a reusable toolkit. The envisioned impact is improved AI accuracy, prioritization of authoritative federal data over nonauthoritative sources, and repeatable methods to benchmark AI readiness. Overall, the work is a call for coordinated standards, testing, and governance to ensure official statistics are reliably mediated by AI.	federal, dissemination
Government	Generative Artificial Intelligence and Open Data: Guidelines and Best Practices	Department of Commerce	2025		https://www.commerce.gov/sites/default/files/2025-01/GenerativeAI-Open-Data.pdf	This Department of Commerce guidance defines what it means for public data to be AI‑ready—not merely machine‑readable but machine‑understandable—and provides actionable recommendations so generative AI systems can retrieve, interpret, and prioritize authoritative open data.  It frames Commerce’s goals as (1) improving the accuracy of AI responses that rely on Commerce data and (2) ensuring authoritative sources are prioritized over non‑authoritative ones.  The document maps how open data are used across the AI lifecycle (training, fine‑tuning, testing/validation, and retrieval/RAG) and organizes best practices into five areas: documentation; data/metadata formats; storage & dissemination; licensing & usage; and data quality & integrity.  Key technical recommendations include persistent identifiers and version control; comprehensive dataset‑ and variable‑level metadata aligned to DCAT‑3, Schema.org, and Croissant; publication in open, machine‑readable formats (e.g., CSV/JSON/JSON‑LD), with avoidance of PDFs for data/metadata; and provision of RESTful APIs with OpenAPI descriptions.  It also emphasizes rights/permissions clarity (robots.txt, data licenses vs. copyright licenses), automated data‑quality checks, and priming APIs for low‑latency retrieval to support RAG.  Future work points to digital signatures, AI‑readiness metrics, expanded education, cross‑agency partnerships (e.g., NAIRR), and standardized user feedback channels.  Overall, the paper is a living standard intended to be iteratively updated as technologies and user needs evolve.	fair principles, rag, api
Government	Generative Artificial Intelligence and Open Data: Guidelines and Best Practices	Brock Webb (Census Bureau)	2026	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2026-C2.1_Webb.pdf	This presentation outlines emerging challenges and best practices for preparing federal open data for effective use in generative AI systems, emphasizing the rapid evolution of AI technologies. The speaker reflects on past efforts, including experiments with MCP and retrieval‑augmented generation that exposed gaps in machine understanding and robustness. The presentation argues that judgment—not just raw data—is critical for AI systems to interpret federal statistics responsibly and highlights failures that demonstrate why structured metadata alone is insufficient. It introduces pragmatics as “the missing layer” needed to help machines navigate context, intent, and API behavior reliably. The talk stresses continued experimentation, adoption of tools such as WebMCP and llms.txt, and capturing expert knowledge before it is lost to workforce turnover. Best‑practice recommendations focus on making federal data more discoverable, more semantically structured, and better aligned to AI model workflows. Overall, the presentation frames AI‑ready data as an evolving challenge that requires technical, organizational, and epistemic shifts.	presentation
Government	Making Federal Data AI Ready:An Extension of Communicating Data Quality	Travis Hoppe (CDC)	2026	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2026-C2.2_Hoppe.pdf	This presentation outlines the evolution of federal data quality guidance and its extension into the realm of AI‑ready data, emphasizing the need for machine‑readable and machine‑understandable formats across statistical agencies. It connects earlier FCSM frameworks and the updated 2025 Data Quality Framework (DQF) to operational actions required for preparing federal datasets for modern generative AI systems, including baseline assessments, cross‑agency learning, and API and metadata modernization. A major focus is on the Model Context Protocol (MCP), which enables AI models to securely and contextually interact with federal data sources without bespoke integrations, vastly improving retrieval accuracy from 2.1% to as high as 95% in pilot implementations. The presentation highlights six persistent challenges—context awareness, scaling, discovery, governance, security, and evaluation—which require both technical and organizational solutions. It concludes by encouraging further adoption of MCP servers and collaborative practices to ensure federal data becomes more interpretable, discoverable, and actionable for AI use cases.	presentation
Government	From Statistical Data to Machine-Understandable Knowledge: Methodological Advances for AI Readiness in Federal Statistics	Irina Belyaeva (Census Bureau)	2026	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2026-C2.4_Belyaeva.pdf	This presentation argues that AI readiness is now a methodological imperative for federal statistical agencies, emphasizing that AI systems require machine‑understandable statistical knowledge rather than human‑oriented metadata structures. It demonstrates how poorly structured metadata produce untrustworthy AI outputs and contrasts this with an AI‑ready example that incorporates survey identifiers, universes, geographies, variables, and margin‑of‑error information in fully structured form. The presenter outlines a three‑layer framework—validation, representation, and stewardship—that together enable semantic structuring optimized for AI consumption and cross‑survey integration, grounded in international metadata standards such as GSIM, DDI, and SDMX. A detailed knowledge‑graph model is introduced to show how AI systems traverse statistical meaning from concepts to data points, ensuring definitional fidelity and verifiable context for each datum retrieved. The talk also highlights the need for task‑adapted evaluation metrics to assess retrieval precision, reasoning consistency, and responsible AI behavior, noting that no single metric captures all dimensions of AI performance in statistical contexts. Ultimately, the presentation frames AI‑ready statistics as a coordinated governance effort embedding FAIR principles into federal statistical standards and integrating AI‑readiness into long‑term stewardship practices.	presentation
Government	Modernizing Access to NASS Quick Stats	Justin Van Wart (NASS)	2026	FCSM Presentation	https://community-dc.max.gov/download/attachments/2770209239/2026-C2.5_VanWart.pdf	This presentation describes efforts by the USDA National Agricultural Statistics Service (NASS) to modernize access to its extensive Quickstats database by making data retrieval more conversational and accessible to non‑expert users. The team tested five different AI‑enabled approaches—Dual‑LLM RAG, Model Context Protocol (MCP), Google’s Data Commons, Azure Copilot Studio, and a fine‑tuned Databricks Genie—to determine which best balances accuracy, security, and cost in generating natural‑language interfaces to agricultural statistics. Early approaches such as RAG and MCP were powerful but vulnerable to prompt injection, tool poisoning, and high costs, while Data Commons required heavy schema work and offered non‑live data, and Copilot Studio posed customization and cost challenges. The final solution—a fine‑tuned Databricks Genie with a controlled API—yielded a highly accurate, context‑aware, and constrained system that minimizes risk and reduces marginal query costs. The presentation concludes with comparisons of security constraints, cost per query across methods, and open questions about validation, governance, and cross‑agency alignment for public‑facing AI systems.	presentation
